Local time,Open,High,Low,Close,Volume
2003-05-12 05:00:00+00:00,116.868,116.931,116.318,116.365,47298.3994
2003-05-12 09:00:00+00:00,116.351,116.748,116.321,116.374,46179.8994
2003-05-12 13:00:00+00:00,116.43,116.957,116.367,116.917,169294.50290000002
2003-05-12 17:00:00+00:00,116.904,117.075,116.796,117.075,209122.6992
2003-05-12 21:00:00+00:00,117.063,117.259,116.81,117.209,47420.999
2003-05-13 01:00:00+00:00,117.217,117.548,117.145,117.285,47669.6006
2003-05-13 05:00:00+00:00,117.274,117.295,116.352,117.093,46198.0
2003-05-13 09:00:00+00:00,117.107,117.289,116.568,116.621,49936.2998
2003-05-13 13:00:00+00:00,116.587,116.881,116.446,116.493,170410.9033
2003-05-13 17:00:00+00:00,116.513,116.681,116.426,116.611,204723.8008
2003-05-13 21:00:00+00:00,116.604,116.852,116.487,116.74,46485.7998
2003-05-14 01:00:00+00:00,116.785,116.858,116.511,116.715,47602.5
2003-05-14 05:00:00+00:00,116.685,116.738,116.503,116.552,47010.0
2003-05-14 09:00:00+00:00,116.554,116.825,116.491,116.744,47967.6992
2003-05-14 13:00:00+00:00,116.766,116.8,116.068,116.182,165202.3994
2003-05-14 17:00:00+00:00,116.135,116.226,115.592,116.21,208583.2012
2003-05-14 21:00:00+00:00,116.193,116.343,116.128,116.228,47867.9004
2003-05-15 01:00:00+00:00,116.224,116.427,116.131,116.191,47622.7998
2003-05-15 05:00:00+00:00,116.187,116.317,115.744,115.882,46695.7998
2003-05-15 09:00:00+00:00,115.886,115.934,115.292,115.617,47419.7002
2003-05-15 13:00:00+00:00,115.652,116.171,115.611,115.899,171127.30670000002
2003-05-15 17:00:00+00:00,115.927,116.565,115.783,116.565,204445.6972
2003-05-15 21:00:00+00:00,116.588,116.616,116.399,116.51,48343.0
2003-05-16 01:00:00+00:00,116.519,116.532,116.186,116.239,46300.4004
2003-05-16 05:00:00+00:00,116.257,116.474,116.204,116.323,46723.0996
2003-05-16 09:00:00+00:00,116.343,116.494,116.01,116.01,49630.8994
2003-05-16 13:00:00+00:00,116.055,116.19,115.849,115.986,167623.3027
2003-05-16 17:00:00+00:00,115.97,116.202,115.788,115.948,201801.5
2003-05-16 21:00:00+00:00,115.948,115.948,115.948,115.948,0.0
2003-05-17 01:00:00+00:00,115.948,115.948,115.948,115.948,0.0
2003-05-17 05:00:00+00:00,115.948,115.948,115.948,115.948,0.0
2003-05-17 09:00:00+00:00,115.948,115.948,115.948,115.948,0.0
2003-05-17 13:00:00+00:00,115.948,115.948,115.948,115.948,0.0
2003-05-17 17:00:00+00:00,115.948,115.948,115.948,115.948,0.0
2003-05-17 21:00:00+00:00,115.948,115.948,115.948,115.948,0.0
2003-05-18 01:00:00+00:00,115.948,115.948,115.948,115.948,0.0
2003-05-18 05:00:00+00:00,115.948,115.948,115.948,115.948,0.0
2003-05-18 09:00:00+00:00,115.948,115.948,115.948,115.948,0.0
2003-05-18 13:00:00+00:00,115.948,115.948,115.948,115.948,0.0
2003-05-18 17:00:00+00:00,115.948,115.948,115.948,115.948,0.0
2003-05-18 21:00:00+00:00,115.628,115.805,115.421,115.658,46492.4004
2003-05-19 01:00:00+00:00,115.662,115.706,115.138,115.32,48417.1006
2003-05-19 05:00:00+00:00,115.342,115.376,115.055,115.173,48325.5996
2003-05-19 09:00:00+00:00,115.17,116.505,115.04,116.505,48096.8994
2003-05-19 13:00:00+00:00,116.532,116.797,116.34,116.557,167877.6065
2003-05-19 17:00:00+00:00,116.567,117.455,116.519,117.325,209434.7969
2003-05-19 21:00:00+00:00,117.289,117.367,117.053,117.176,48914.5996
2003-05-20 01:00:00+00:00,117.154,117.186,116.971,117.058,46481.1992
2003-05-20 05:00:00+00:00,117.084,117.392,116.954,117.344,47939.9004
2003-05-20 09:00:00+00:00,117.302,117.397,116.74,117.192,47369.6006
2003-05-20 13:00:00+00:00,117.237,117.249,116.646,116.766,166477.49709999998
2003-05-20 17:00:00+00:00,116.73,116.89,116.585,116.706,203482.7031
2003-05-20 21:00:00+00:00,116.73,116.772,116.562,116.67,47189.8008
2003-05-21 01:00:00+00:00,116.691,116.76,116.604,116.665,48407.0
2003-05-21 05:00:00+00:00,116.668,116.738,116.541,116.653,48632.1992
2003-05-21 09:00:00+00:00,116.631,117.166,116.499,117.069,49249.0
2003-05-21 13:00:00+00:00,117.119,117.523,116.939,117.211,170927.1973
2003-05-21 17:00:00+00:00,117.201,117.381,117.078,117.267,208463.99810000003
2003-05-21 21:00:00+00:00,117.266,117.776,117.201,117.526,49544.2998
2003-05-22 01:00:00+00:00,117.525,117.738,117.372,117.521,48262.499
