Local time,Open,High,Low,Close,Volume
11.08.2003 16:00:00.000 GMT-0500,0.65795,0.66120,0.65551,0.65593,127458.9012
12.08.2003 16:00:00.000 GMT-0500,0.65611,0.65887,0.65216,0.65802,120415.3898
13.08.2003 16:00:00.000 GMT-0500,0.65825,0.65915,0.65471,0.65610,124506.1899
14.08.2003 16:00:00.000 GMT-0500,0.65620,0.66049,0.65553,0.65979,120069.5001
15.08.2003 16:00:00.000 GMT-0500,0.65979,0.65979,0.65979,0.65979,0
16.08.2003 16:00:00.000 GMT-0500,0.65979,0.65979,0.65979,0.65979,0
17.08.2003 16:00:00.000 GMT-0500,0.66029,0.66195,0.65488,0.65773,132920.99829999998
18.08.2003 16:00:00.000 GMT-0500,0.65777,0.65830,0.65215,0.65572,125746.3892
19.08.2003 16:00:00.000 GMT-0500,0.65608,0.66213,0.65375,0.66034,122976.11020000002
20.08.2003 16:00:00.000 GMT-0500,0.66024,0.66095,0.65080,0.65368,131130.36999999997
21.08.2003 16:00:00.000 GMT-0500,0.65368,0.65480,0.64704,0.65218,131481.00950000004
22.08.2003 16:00:00.000 GMT-0500,0.65218,0.65218,0.65218,0.65218,0
23.08.2003 16:00:00.000 GMT-0500,0.65218,0.65218,0.65218,0.65218,0
24.08.2003 16:00:00.000 GMT-0500,0.65110,0.65345,0.64940,0.64958,128039.59960000002
25.08.2003 16:00:00.000 GMT-0500,0.64975,0.65038,0.64181,0.64391,128344.50999999998
26.08.2003 16:00:00.000 GMT-0500,0.64400,0.64486,0.63656,0.63908,124839.94029999999
27.08.2003 16:00:00.000 GMT-0500,0.63915,0.64213,0.63512,0.64039,131542.47160000005
28.08.2003 16:00:00.000 GMT-0500,0.64010,0.64958,0.63902,0.64693,128756.9295
29.08.2003 16:00:00.000 GMT-0500,0.64693,0.64693,0.64693,0.64693,0
30.08.2003 16:00:00.000 GMT-0500,0.64693,0.64693,0.64693,0.64693,0
31.08.2003 16:00:00.000 GMT-0500,0.64672,0.64817,0.64400,0.64561,121476.5208
01.09.2003 16:00:00.000 GMT-0500,0.64536,0.64605,0.63525,0.63639,123160.7765
02.09.2003 16:00:00.000 GMT-0500,0.63638,0.64170,0.63414,0.64014,125174.6111
