Local time,Open,High,Low,Close,Volume
31.08.2003 16:00:00.000 GMT-0500,0.64652,0.68675,0.63392,0.67941,2825488.4369000015
30.09.2003 16:00:00.000 GMT-0500,0.68025,0.71067,0.67547,0.70799,2947165.0268999995
31.10.2003 17:00:00.000 GMT-0500,0.70664,0.72655,0.69534,0.72340,4642742.820999994
30.11.2003 17:00:00.000 GMT-0500,0.72332,0.75395,0.72226,0.75165,2878910.8565999973
31.12.2003 17:00:00.000 GMT-0500,0.75169,0.78125,0.74939,0.76350,3019650.1879999987
31.01.2004 17:00:00.000 GMT-0500,0.76282,0.80022,0.75528,0.77320,49318091.86360005
29.02.2004 17:00:00.000 GMT-0500,0.77254,0.77655,0.72490,0.76628,56637261.698300086
31.03.2004 17:00:00.000 GMT-0500,0.76611,0.76910,0.71210,0.72021,56027049.07240001
30.04.2004 16:00:00.000 GMT-0500,0.72145,0.73418,0.67912,0.71447,54315303.29340006
31.05.2004 16:00:00.000 GMT-0500,0.71462,0.71740,0.67753,0.69835,58102416.47990005
30.06.2004 16:00:00.000 GMT-0500,0.69857,0.73471,0.69304,0.70183,58695283.50770012
31.07.2004 16:00:00.000 GMT-0500,0.70094,0.72620,0.69540,0.70345,59182375.56610005
31.08.2004 16:00:00.000 GMT-0500,0.70403,0.72850,0.68498,0.72709,59962129.460800044
30.09.2004 16:00:00.000 GMT-0500,0.72722,0.75075,0.71818,0.74786,57503935.187800035
31.10.2004 17:00:00.000 GMT-0500,0.74828,0.79465,0.74310,0.77246,60156984.00050007
30.11.2004 17:00:00.000 GMT-0500,0.77226,0.78413,0.74418,0.77983,63494869.36730008
31.12.2004 17:00:00.000 GMT-0500,0.77999,0.78369,0.75027,0.77521,58861464.47280008
31.01.2005 17:00:00.000 GMT-0500,0.77505,0.79520,0.76101,0.79140,57068040.21920005
28.02.2005 17:00:00.000 GMT-0500,0.79142,0.79885,0.76647,0.77240,65882416.52880005
31.03.2005 17:00:00.000 GMT-0500,0.77253,0.78403,0.76236,0.78096,60955322.41500008
