Local time,Open,High,Low,Close,Volume
30.11.2003 17:00:00.000 GMT-0500,0.72352,0.75405,0.72263,0.75195,2896828.4051
31.12.2003 17:00:00.000 GMT-0500,0.75191,0.78148,0.74979,0.76390,3038825.0249
31.01.2004 17:00:00.000 GMT-0500,0.76312,0.80038,0.75549,0.77360,49846615.47210005
29.02.2004 17:00:00.000 GMT-0500,0.77274,0.77665,0.72507,0.76668,57415413.636900015
31.03.2004 17:00:00.000 GMT-0500,0.76641,0.76930,0.71222,0.72049,56187001.267600045
30.04.2004 16:00:00.000 GMT-0500,0.72155,0.73442,0.67944,0.71475,54520889.83940005
31.05.2004 16:00:00.000 GMT-0500,0.71484,0.71760,0.67773,0.69863,58384714.08920006
30.06.2004 16:00:00.000 GMT-0500,0.69879,0.73490,0.69315,0.70211,59118073.866400115
31.07.2004 16:00:00.000 GMT-0500,0.70116,0.72645,0.69553,0.70373,59864010.73100006
31.08.2004 16:00:00.000 GMT-0500,0.70425,0.72878,0.68515,0.72737,60575575.27770007
30.09.2004 16:00:00.000 GMT-0500,0.72744,0.75093,0.71843,0.74814,58104021.60990003
31.10.2004 17:00:00.000 GMT-0500,0.74858,0.79483,0.74328,0.77286,60798920.062800094
30.11.2004 17:00:00.000 GMT-0500,0.77256,0.78430,0.74442,0.78023,64234915.1626001
31.12.2004 17:00:00.000 GMT-0500,0.78019,0.78390,0.75037,0.77561,59311655.70740001
31.01.2005 17:00:00.000 GMT-0500,0.77525,0.79545,0.76122,0.79180,57860103.33610007
28.02.2005 17:00:00.000 GMT-0500,0.79172,0.79905,0.76670,0.77280,66888928.51630006
31.03.2005 17:00:00.000 GMT-0500,0.77273,0.78417,0.76255,0.78124,61689894.54700012
30.04.2005 16:00:00.000 GMT-0500,0.78067,0.78290,0.75293,0.75574,64969446.630200066
31.05.2005 16:00:00.000 GMT-0500,0.75576,0.78105,0.74694,0.76228,66991998.39060011
30.06.2005 16:00:00.000 GMT-0500,0.76258,0.76859,0.73637,0.75645,64910939.37450011
