Local time,Open,High,Low,Close,Volume
10.08.2003 16:00:00.000 GMT-0500,0.65246,0.66120,0.65015,0.65979,622369.5512999999
17.08.2003 16:00:00.000 GMT-0500,0.66029,0.66213,0.64704,0.65218,644254.8771999999
24.08.2003 16:00:00.000 GMT-0500,0.65110,0.65345,0.63512,0.64693,641523.4510000001
31.08.2003 16:00:00.000 GMT-0500,0.64672,0.64882,0.63414,0.64773,631668.449
07.09.2003 16:00:00.000 GMT-0500,0.64684,0.66430,0.64445,0.66324,646567.1223999994
14.09.2003 16:00:00.000 GMT-0500,0.66218,0.67362,0.65843,0.67255,642337.2139000001
21.09.2003 16:00:00.000 GMT-0500,0.67701,0.68387,0.67288,0.67356,651836.0380999998
28.09.2003 16:00:00.000 GMT-0500,0.67555,0.68790,0.66775,0.67885,651171.1324000004
05.10.2003 16:00:00.000 GMT-0500,0.67865,0.69590,0.67578,0.69155,638103.3420000001
12.10.2003 16:00:00.000 GMT-0500,0.69267,0.69343,0.68235,0.69257,639145.0903999999
19.10.2003 16:00:00.000 GMT-0500,0.69375,0.70765,0.68937,0.69888,647218.0419999997
26.10.2003 17:00:00.000 GMT-0500,0.69860,0.71077,0.69813,0.70819,651664.4587999999
02.11.2003 17:00:00.000 GMT-0500,0.70694,0.71255,0.69565,0.70830,653390.9803
09.11.2003 17:00:00.000 GMT-0500,0.70854,0.72260,0.70850,0.72038,2801552.1325999997
16.11.2003 17:00:00.000 GMT-0500,0.72046,0.72665,0.70910,0.72335,623406.0772999998
23.11.2003 17:00:00.000 GMT-0500,0.72311,0.72585,0.71534,0.72360,613363.8414000003
30.11.2003 17:00:00.000 GMT-0500,0.72352,0.73830,0.72263,0.73627,657503.1193000001
07.12.2003 17:00:00.000 GMT-0500,0.73654,0.74395,0.73317,0.74190,663390.9382000002
14.12.2003 17:00:00.000 GMT-0500,0.73743,0.74570,0.73448,0.73575,663277.4592000003
21.12.2003 17:00:00.000 GMT-0500,0.73687,0.74408,0.73229,0.74160,522867.9701
28.12.2003 17:00:00.000 GMT-0500,0.74087,0.75945,0.74001,0.75777,539445.0583999999
04.01.2004 17:00:00.000 GMT-0500,0.75803,0.77850,0.75747,0.77649,721719.2768000001
11.01.2004 17:00:00.000 GMT-0500,0.77743,0.78148,0.76096,0.76312,720682.0875999997
18.01.2004 17:00:00.000 GMT-0500,0.76270,0.77983,0.75271,0.77101,719426.4714999998
25.01.2004 17:00:00.000 GMT-0500,0.77003,0.78135,0.75446,0.76390,727341.0488999998
01.02.2004 17:00:00.000 GMT-0500,0.76312,0.77105,0.75549,0.77042,12409801.703900006
08.02.2004 17:00:00.000 GMT-0500,0.76586,0.79453,0.76441,0.78977,12474474.016399998
15.02.2004 17:00:00.000 GMT-0500,0.78936,0.80038,0.76383,0.77124,12489605.637700012
22.02.2004 17:00:00.000 GMT-0500,0.76995,0.78173,0.76507,0.77360,12472734.114100002
29.02.2004 17:00:00.000 GMT-0500,0.77274,0.77665,0.73990,0.75931,12531947.098499995
07.03.2004 17:00:00.000 GMT-0500,0.76065,0.76588,0.72507,0.73328,12509659.684500003
14.03.2004 17:00:00.000 GMT-0500,0.73115,0.75338,0.72890,0.74901,12502081.31740001
21.03.2004 17:00:00.000 GMT-0500,0.74744,0.75587,0.73690,0.74606,12488178.160799999
28.03.2004 17:00:00.000 GMT-0500,0.74527,0.76930,0.74309,0.75736,12415131.684800006
04.04.2004 16:00:00.000 GMT-0500,0.75526,0.76925,0.75084,0.76255,12307678.228899993
11.04.2004 16:00:00.000 GMT-0500,0.76322,0.76901,0.72968,0.74350,12753795.55610001
18.04.2004 16:00:00.000 GMT-0500,0.74340,0.75133,0.72329,0.73273,12992731.821
25.04.2004 16:00:00.000 GMT-0500,0.73333,0.73690,0.71222,0.72008,13101211.352500001
02.05.2004 16:00:00.000 GMT-0500,0.72155,0.73442,0.70175,0.70319,13068629.309800005
09.05.2004 16:00:00.000 GMT-0500,0.70306,0.70449,0.68296,0.69117,13051459.566900004
16.05.2004 16:00:00.000 GMT-0500,0.69116,0.70357,0.67944,0.69751,13001021.1883
23.05.2004 16:00:00.000 GMT-0500,0.69743,0.72003,0.69436,0.71418,13151175.708200004
30.05.2004 16:00:00.000 GMT-0500,0.71406,0.71760,0.68460,0.69563,12714884.480600009
06.06.2004 16:00:00.000 GMT-0500,0.69653,0.70790,0.68623,0.69222,13117814.848100001
13.06.2004 16:00:00.000 GMT-0500,0.69191,0.69958,0.67773,0.68852,13321690.946300006
20.06.2004 16:00:00.000 GMT-0500,0.68842,0.70261,0.68425,0.70046,13433140.676700007
27.06.2004 16:00:00.000 GMT-0500,0.70029,0.71405,0.68753,0.71304,13380833.05970001
04.07.2004 16:00:00.000 GMT-0500,0.71269,0.72438,0.71112,0.72212,13445685.953300001
11.07.2004 16:00:00.000 GMT-0500,0.72189,0.73267,0.71967,0.73195,13378124.966
18.07.2004 16:00:00.000 GMT-0500,0.73182,0.73490,0.70718,0.70924,13474803.113600004
25.07.2004 16:00:00.000 GMT-0500,0.70888,0.71422,0.69315,0.70123,13484413.977500007
01.08.2004 16:00:00.000 GMT-0500,0.70116,0.71586,0.69867,0.71376,13628762.083300004
08.08.2004 16:00:00.000 GMT-0500,0.71308,0.71810,0.70569,0.71676,13526470.692000002
15.08.2004 16:00:00.000 GMT-0500,0.71529,0.72645,0.71300,0.72368,13601866.368200004
22.08.2004 16:00:00.000 GMT-0500,0.72292,0.72388,0.70009,0.70211,13576572.766900007
29.08.2004 16:00:00.000 GMT-0500,0.70099,0.70788,0.68845,0.69108,13774182.962000007
05.09.2004 16:00:00.000 GMT-0500,0.69137,0.69935,0.68515,0.69523,13670411.446000002
12.09.2004 16:00:00.000 GMT-0500,0.69504,0.70480,0.69310,0.69764,13819969.177200012
19.09.2004 16:00:00.000 GMT-0500,0.69616,0.71706,0.69606,0.71428,13711837.555500003
26.09.2004 16:00:00.000 GMT-0500,0.71431,0.72878,0.70972,0.72597,13877102.274200013
03.10.2004 16:00:00.000 GMT-0500,0.72390,0.73655,0.71843,0.73481,13728432.454200005
10.10.2004 16:00:00.000 GMT-0500,0.73605,0.73845,0.72127,0.73104,13956724.621900003
17.10.2004 16:00:00.000 GMT-0500,0.73027,0.74056,0.72201,0.73997,13747252.208000004
24.10.2004 16:00:00.000 GMT-0500,0.74111,0.75093,0.73675,0.74814,13924023.009200014
31.10.2004 17:00:00.000 GMT-0500,0.74858,0.76350,0.74328,0.76277,13773091.3642
07.11.2004 17:00:00.000 GMT-0500,0.76267,0.77027,0.75520,0.76926,13764104.766500004
14.11.2004 17:00:00.000 GMT-0500,0.76797,0.78634,0.76778,0.78337,13827362.989300013
21.11.2004 17:00:00.000 GMT-0500,0.78387,0.79483,0.77709,0.79065,13821678.38000001
28.11.2004 17:00:00.000 GMT-0500,0.78863,0.79044,0.76972,0.78166,13962339.414700001
05.12.2004 17:00:00.000 GMT-0500,0.78048,0.78235,0.74442,0.75097,13894402.137800012
12.12.2004 17:00:00.000 GMT-0500,0.74777,0.76693,0.74765,0.76237,14048924.965700006
19.12.2004 17:00:00.000 GMT-0500,0.76352,0.77128,0.76120,0.76912,14034411.239400005
26.12.2004 17:00:00.000 GMT-0500,0.76937,0.78430,0.76801,0.78023,13907519.967799999
02.01.2005 17:00:00.000 GMT-0500,0.78019,0.78390,0.75387,0.75755,14103199.656900007
09.01.2005 17:00:00.000 GMT-0500,0.75687,0.76982,0.75495,0.75920,14113466.149500005
16.01.2005 17:00:00.000 GMT-0500,0.75954,0.77138,0.75037,0.76931,13800812.024900004
23.01.2005 17:00:00.000 GMT-0500,0.76873,0.78025,0.76270,0.77491,14398195.540100005
30.01.2005 17:00:00.000 GMT-0500,0.77365,0.77900,0.76712,0.77020,14389595.50860001
06.02.2005 17:00:00.000 GMT-0500,0.76820,0.78655,0.76122,0.78574,14476094.927100003
13.02.2005 17:00:00.000 GMT-0500,0.78545,0.78975,0.77845,0.78851,14420135.449900005
20.02.2005 17:00:00.000 GMT-0500,0.78836,0.79545,0.78062,0.78619,14546091.196200008
27.02.2005 17:00:00.000 GMT-0500,0.78673,0.79443,0.77696,0.79039,14483823.610400008
06.03.2005 17:00:00.000 GMT-0500,0.78934,0.79905,0.78716,0.79320,14550380.285800014
13.03.2005 17:00:00.000 GMT-0500,0.79252,0.79565,0.78589,0.79490,14481108.97390001
20.03.2005 17:00:00.000 GMT-0500,0.79359,0.79408,0.76965,0.77153,14584112.68120001
27.03.2005 17:00:00.000 GMT-0500,0.77207,0.77776,0.76670,0.77100,14601333.004500002
03.04.2005 16:00:00.000 GMT-0500,0.77029,0.77365,0.76255,0.77132,14618352.321300006
10.04.2005 16:00:00.000 GMT-0500,0.77127,0.78067,0.76510,0.76817,14769642.309900006
17.04.2005 16:00:00.000 GMT-0500,0.76830,0.78334,0.76330,0.78097,14617389.211700002
24.04.2005 16:00:00.000 GMT-0500,0.78090,0.78417,0.77405,0.78138,14796849.254900005
01.05.2005 16:00:00.000 GMT-0500,0.78067,0.78290,0.77205,0.77518,14619643.492899999
08.05.2005 16:00:00.000 GMT-0500,0.77484,0.77932,0.75994,0.76132,14781871.978000008
