Local time,Open,High,Low,Close,Volume
10.08.2003 16:00:00.000 GMT-0500,0.65226,0.66100,0.64986,0.65951,620981.1098000001
17.08.2003 16:00:00.000 GMT-0500,0.66009,0.66190,0.64679,0.65190,641181.5756999999
24.08.2003 16:00:00.000 GMT-0500,0.65090,0.65320,0.63497,0.64665,638699.7423999998
31.08.2003 16:00:00.000 GMT-0500,0.64652,0.64864,0.63392,0.64745,629390.3275999997
07.09.2003 16:00:00.000 GMT-0500,0.64664,0.66409,0.64420,0.66296,642652.0676999999
14.09.2003 16:00:00.000 GMT-0500,0.66198,0.67338,0.65821,0.67227,639756.2772000001
21.09.2003 16:00:00.000 GMT-0500,0.67671,0.68373,0.67254,0.67336,649479.5731999999
28.09.2003 16:00:00.000 GMT-0500,0.67545,0.68770,0.66759,0.67875,647452.0151999998
05.10.2003 16:00:00.000 GMT-0500,0.67855,0.69570,0.67547,0.69127,635100.5434999998
12.10.2003 16:00:00.000 GMT-0500,0.69233,0.69323,0.68210,0.69229,637411.8065000002
19.10.2003 16:00:00.000 GMT-0500,0.69345,0.70735,0.68914,0.69860,643696.5386999999
26.10.2003 17:00:00.000 GMT-0500,0.69840,0.71067,0.69777,0.70799,647714.3142
02.11.2003 17:00:00.000 GMT-0500,0.70664,0.71245,0.69534,0.70810,649612.2131000003
09.11.2003 17:00:00.000 GMT-0500,0.70834,0.72240,0.70827,0.72022,2749775.115999998
16.11.2003 17:00:00.000 GMT-0500,0.72016,0.72655,0.70890,0.72325,627282.6534
23.11.2003 17:00:00.000 GMT-0500,0.72291,0.72555,0.71504,0.72340,616072.8385000002
30.11.2003 17:00:00.000 GMT-0500,0.72332,0.73810,0.72226,0.73597,653723.0629999998
07.12.2003 17:00:00.000 GMT-0500,0.73634,0.74365,0.73287,0.74170,659206.4194000001
14.12.2003 17:00:00.000 GMT-0500,0.73723,0.74550,0.73430,0.73565,659115.029
21.12.2003 17:00:00.000 GMT-0500,0.73667,0.74375,0.73201,0.74140,518929.15819999995
28.12.2003 17:00:00.000 GMT-0500,0.74057,0.75915,0.73975,0.75737,533696.5870999998
