Local time,Open,High,Low,Close,Volume
12.08.2003 00:00:00.000 GMT-0500,0.65811,0.66120,0.65768,0.65895,23024.3301
12.08.2003 04:00:00.000 GMT-0500,0.65885,0.65933,0.65623,0.65718,42791.961
12.08.2003 08:00:00.000 GMT-0500,0.65699,0.65875,0.65625,0.65719,19815.300000000003
12.08.2003 12:00:00.000 GMT-0500,0.65745,0.66078,0.65551,0.65593,11906.7798
12.08.2003 16:00:00.000 GMT-0500,0.65611,0.65675,0.65464,0.65547,12430.720099999999
12.08.2003 20:00:00.000 GMT-0500,0.65550,0.65668,0.65389,0.65482,17931.6496
13.08.2003 00:00:00.000 GMT-0500,0.65469,0.65525,0.65216,0.65439,22149.840399999997
13.08.2003 04:00:00.000 GMT-0500,0.65475,0.65588,0.65291,0.65410,38617.369600000005
13.08.2003 08:00:00.000 GMT-0500,0.65376,0.65805,0.65343,0.65708,18794.320099999997
13.08.2003 12:00:00.000 GMT-0500,0.65738,0.65887,0.65680,0.65802,10491.49
13.08.2003 16:00:00.000 GMT-0500,0.65825,0.65885,0.65669,0.65791,11078.6699
13.08.2003 20:00:00.000 GMT-0500,0.65761,0.65894,0.65704,0.65811,16153.630099999998
14.08.2003 00:00:00.000 GMT-0500,0.65826,0.65915,0.65712,0.65863,24414.649999999998
14.08.2003 04:00:00.000 GMT-0500,0.65840,0.65875,0.65489,0.65662,43462.4404
14.08.2003 08:00:00.000 GMT-0500,0.65653,0.65840,0.65471,0.65544,18921.8498
14.08.2003 12:00:00.000 GMT-0500,0.65555,0.65835,0.65502,0.65610,10474.9497
14.08.2003 16:00:00.000 GMT-0500,0.65620,0.65805,0.65573,0.65589,13120.1502
14.08.2003 20:00:00.000 GMT-0500,0.65594,0.65771,0.65553,0.65706,18369.78
15.08.2003 00:00:00.000 GMT-0500,0.65715,0.65925,0.65661,0.65845,22843.4199
15.08.2003 04:00:00.000 GMT-0500,0.65846,0.65979,0.65738,0.65851,43141.6201
15.08.2003 08:00:00.000 GMT-0500,0.65874,0.66022,0.65779,0.65979,12423.7899
15.08.2003 12:00:00.000 GMT-0500,0.65995,0.66049,0.65835,0.65979,10170.739999999998
15.08.2003 16:00:00.000 GMT-0500,0.65979,0.65979,0.65979,0.65979,0
15.08.2003 20:00:00.000 GMT-0500,0.65979,0.65979,0.65979,0.65979,0
16.08.2003 00:00:00.000 GMT-0500,0.65979,0.65979,0.65979,0.65979,0
16.08.2003 04:00:00.000 GMT-0500,0.65979,0.65979,0.65979,0.65979,0
16.08.2003 08:00:00.000 GMT-0500,0.65979,0.65979,0.65979,0.65979,0
16.08.2003 12:00:00.000 GMT-0500,0.65979,0.65979,0.65979,0.65979,0
16.08.2003 16:00:00.000 GMT-0500,0.65979,0.65979,0.65979,0.65979,0
16.08.2003 20:00:00.000 GMT-0500,0.65979,0.65979,0.65979,0.65979,0
17.08.2003 00:00:00.000 GMT-0500,0.65979,0.65979,0.65979,0.65979,0
17.08.2003 04:00:00.000 GMT-0500,0.65979,0.65979,0.65979,0.65979,0
17.08.2003 08:00:00.000 GMT-0500,0.65979,0.65979,0.65979,0.65979,0
17.08.2003 12:00:00.000 GMT-0500,0.65979,0.65979,0.65979,0.65979,0
17.08.2003 16:00:00.000 GMT-0500,0.66029,0.66195,0.65973,0.66085,8773.9899
17.08.2003 20:00:00.000 GMT-0500,0.66094,0.66149,0.65930,0.66080,18863.3597
18.08.2003 00:00:00.000 GMT-0500,0.66076,0.66190,0.66001,0.66066,25924.3301
18.08.2003 04:00:00.000 GMT-0500,0.66040,0.66120,0.65816,0.65885,45801.8389
18.08.2003 08:00:00.000 GMT-0500,0.65868,0.65896,0.65488,0.65689,20878.799799999997
18.08.2003 12:00:00.000 GMT-0500,0.65670,0.65932,0.65655,0.65773,12678.6799
18.08.2003 16:00:00.000 GMT-0500,0.65777,0.65830,0.65601,0.65686,11013.5297
18.08.2003 20:00:00.000 GMT-0500,0.65657,0.65687,0.65391,0.65465,17275.22
19.08.2003 00:00:00.000 GMT-0500,0.65470,0.65570,0.65291,0.65540,23185.700299999997
19.08.2003 04:00:00.000 GMT-0500,0.65543,0.65593,0.65228,0.65250,42693.6289
19.08.2003 08:00:00.000 GMT-0500,0.65253,0.65678,0.65215,0.65465,19963.1502
19.08.2003 12:00:00.000 GMT-0500,0.65485,0.65655,0.65344,0.65572,11615.160100000001
19.08.2003 16:00:00.000 GMT-0500,0.65608,0.65660,0.65431,0.65488,11730.28
19.08.2003 20:00:00.000 GMT-0500,0.65472,0.65566,0.65375,0.65505,17817.950100000002
20.08.2003 00:00:00.000 GMT-0500,0.65508,0.65678,0.65450,0.65573,22292.1601
20.08.2003 04:00:00.000 GMT-0500,0.65575,0.65945,0.65477,0.65896,41255.6796
20.08.2003 08:00:00.000 GMT-0500,0.65896,0.66213,0.65798,0.65983,19107.7503
20.08.2003 12:00:00.000 GMT-0500,0.65990,0.66142,0.65943,0.66034,10772.2901
20.08.2003 16:00:00.000 GMT-0500,0.66024,0.66095,0.65822,0.65851,11770.960200000001
20.08.2003 20:00:00.000 GMT-0500,0.65854,0.65925,0.65626,0.65762,20051.4403
21.08.2003 00:00:00.000 GMT-0500,0.65757,0.65858,0.65599,0.65729,25975.9698
21.08.2003 04:00:00.000 GMT-0500,0.65726,0.65980,0.65624,0.65789,43857.3496
21.08.2003 08:00:00.000 GMT-0500,0.65785,0.65930,0.65080,0.65365,18989.3501
21.08.2003 12:00:00.000 GMT-0500,0.65365,0.65485,0.65195,0.65368,10485.3
21.08.2003 16:00:00.000 GMT-0500,0.65368,0.65480,0.65221,0.65378,12531.13
21.08.2003 20:00:00.000 GMT-0500,0.65386,0.65425,0.65008,0.65144,18780.7801
22.08.2003 00:00:00.000 GMT-0500,0.65136,0.65239,0.64892,0.64907,23621.2397
22.08.2003 04:00:00.000 GMT-0500,0.64906,0.65164,0.64882,0.64941,45937.4599
22.08.2003 08:00:00.000 GMT-0500,0.64930,0.65166,0.64704,0.64949,19788.639799999997
22.08.2003 12:00:00.000 GMT-0500,0.64944,0.65292,0.64911,0.65218,10821.76
22.08.2003 16:00:00.000 GMT-0500,0.65218,0.65218,0.65218,0.65218,0
22.08.2003 20:00:00.000 GMT-0500,0.65218,0.65218,0.65218,0.65218,0
23.08.2003 00:00:00.000 GMT-0500,0.65218,0.65218,0.65218,0.65218,0
23.08.2003 04:00:00.000 GMT-0500,0.65218,0.65218,0.65218,0.65218,0
23.08.2003 08:00:00.000 GMT-0500,0.65218,0.65218,0.65218,0.65218,0
23.08.2003 12:00:00.000 GMT-0500,0.65218,0.65218,0.65218,0.65218,0
23.08.2003 16:00:00.000 GMT-0500,0.65218,0.65218,0.65218,0.65218,0
23.08.2003 20:00:00.000 GMT-0500,0.65218,0.65218,0.65218,0.65218,0
24.08.2003 00:00:00.000 GMT-0500,0.65218,0.65218,0.65218,0.65218,0
24.08.2003 04:00:00.000 GMT-0500,0.65218,0.65218,0.65218,0.65218,0
24.08.2003 08:00:00.000 GMT-0500,0.65218,0.65218,0.65218,0.65218,0
24.08.2003 12:00:00.000 GMT-0500,0.65218,0.65218,0.65218,0.65218,0
24.08.2003 16:00:00.000 GMT-0500,0.65110,0.65178,0.64942,0.65035,8299.3801
24.08.2003 20:00:00.000 GMT-0500,0.65026,0.65138,0.64940,0.65068,18278.02
25.08.2003 00:00:00.000 GMT-0500,0.65043,0.65290,0.65005,0.65221,25813.870199999998
