Local time,Open,High,Low,Close,Volume
31.08.2003 16:00:00.000 GMT-0500,1.09943,1.17339,1.07616,1.16547,24485905.174499992
30.09.2003 16:00:00.000 GMT-0500,1.16585,1.18604,1.15322,1.15877,25661755.695300024
31.10.2003 17:00:00.000 GMT-0500,1.15778,1.20145,1.13783,1.19928,22425511.484299988
30.11.2003 17:00:00.000 GMT-0500,1.19717,1.26460,1.19364,1.25925,25291942.960800003
31.12.2003 17:00:00.000 GMT-0500,1.25931,1.28971,1.23337,1.24747,23952299.4907
31.01.2004 17:00:00.000 GMT-0500,1.24696,1.29253,1.23732,1.24913,22555978.367600024
29.02.2004 17:00:00.000 GMT-0500,1.24836,1.25413,1.20556,1.23140,25837737.864299994
31.03.2004 17:00:00.000 GMT-0500,1.23146,1.23874,1.17583,1.19800,24838925.49740001
30.04.2004 16:00:00.000 GMT-0500,1.19840,1.22969,1.17718,1.21884,23587723.205900013
31.05.2004 16:00:00.000 GMT-0500,1.21894,1.23510,1.19526,1.21958,24889229.285499997
30.06.2004 16:00:00.000 GMT-0500,1.22008,1.24620,1.19923,1.20195,24743150.789899997
31.07.2004 16:00:00.000 GMT-0500,1.20239,1.23862,1.19709,1.21834,24711528.7818
31.08.2004 16:00:00.000 GMT-0500,1.21855,1.24437,1.20256,1.24350,24536006.09020002
30.09.2004 16:00:00.000 GMT-0500,1.24400,1.28416,1.22267,1.27972,23450972.309700035
31.10.2004 17:00:00.000 GMT-0500,1.28013,1.33311,1.26585,1.32781,24292137.6782
30.11.2004 17:00:00.000 GMT-0500,1.32796,1.36653,1.31404,1.35537,25103887.381700005
31.12.2004 17:00:00.000 GMT-0500,1.35480,1.35797,1.29217,1.30369,22693164.361499995
31.01.2005 17:00:00.000 GMT-0500,1.30373,1.32792,1.27318,1.32253,22015194.28750002
28.02.2005 17:00:00.000 GMT-0500,1.32272,1.34777,1.28554,1.29631,25457245.713500015
31.03.2005 17:00:00.000 GMT-0500,1.29605,1.31216,1.27687,1.28715,23589002.74460001
30.04.2005 16:00:00.000 GMT-0500,1.28698,1.29890,1.22902,1.23005,24560929.72900001
31.05.2005 16:00:00.000 GMT-0500,1.23004,1.23524,1.19871,1.21033,24357869.546000004
30.06.2005 16:00:00.000 GMT-0500,1.21073,1.22563,1.18674,1.21190,23279616.67220001
31.07.2005 16:00:00.000 GMT-0500,1.21219,1.24860,1.21157,1.23401,25560338.636700045
31.08.2005 16:00:00.000 GMT-0500,1.23391,1.25888,1.19793,1.20266,24294670.025399987
30.09.2005 16:00:00.000 GMT-0500,1.20622,1.22042,1.18753,1.19911,22989384.251199987
31.10.2005 17:00:00.000 GMT-0500,1.19910,1.20835,1.16418,1.17868,23982173.453800008
30.11.2005 17:00:00.000 GMT-0500,1.17872,1.20601,1.16633,1.18465,23813779.633099988
31.12.2005 17:00:00.000 GMT-0500,1.18452,1.23218,1.18106,1.21550,23841826.05100002
31.01.2006 17:00:00.000 GMT-0500,1.21555,1.21631,1.18264,1.19228,21597503.688200008
28.02.2006 17:00:00.000 GMT-0500,1.19209,1.22073,1.18607,1.21158,24838895.097200032
31.03.2006 17:00:00.000 GMT-0500,1.21145,1.26402,1.20342,1.26350,21631926.2118
30.04.2006 16:00:00.000 GMT-0500,1.26290,1.29708,1.25558,1.28090,32678349.692500032
31.05.2006 16:00:00.000 GMT-0500,1.28096,1.29781,1.24789,1.27925,36071694.26740005
30.06.2006 16:00:00.000 GMT-0500,1.27869,1.28586,1.24459,1.27656,34423396.47120003
31.07.2006 16:00:00.000 GMT-0500,1.27676,1.29386,1.26897,1.28121,37696986.87580007
31.08.2006 16:00:00.000 GMT-0500,1.28106,1.28755,1.26272,1.26735,35066896.693700016
30.09.2006 16:00:00.000 GMT-0500,1.26790,1.27818,1.24841,1.27613,36729511.0293
31.10.2006 17:00:00.000 GMT-0500,1.27614,1.32745,1.26837,1.32406,36570127.92790001
30.11.2006 17:00:00.000 GMT-0500,1.32414,1.33663,1.30541,1.31946,35144937.06400003
31.12.2006 17:00:00.000 GMT-0500,1.31953,1.32965,1.28678,1.30314,38345122.48690003
31.01.2007 17:00:00.000 GMT-0500,1.30316,1.32588,1.29113,1.32281,33356534.90410003
28.02.2007 17:00:00.000 GMT-0500,1.32290,1.34104,1.30734,1.33560,33453174.594200034
31.03.2007 16:00:00.000 GMT-0500,1.33740,1.36830,1.33189,1.36478,18862793.2067
30.04.2007 16:00:00.000 GMT-0500,1.36471,1.36727,1.34095,1.34528,11390641.598599996
31.05.2007 16:00:00.000 GMT-0500,1.34525,1.35525,1.32641,1.35407,10148007.581199992
30.06.2007 16:00:00.000 GMT-0500,1.35368,1.38529,1.35278,1.36842,12423158.485999994
31.07.2007 16:00:00.000 GMT-0500,1.36833,1.38411,1.33621,1.36275,17571587.872700006
31.08.2007 16:00:00.000 GMT-0500,1.36290,1.42782,1.35492,1.42680,15328942.426000005
30.09.2007 16:00:00.000 GMT-0500,1.42753,1.45042,1.40109,1.44856,17550847.06600003
31.10.2007 16:00:00.000 GMT-0500,1.44874,1.49665,1.44005,1.46343,16858670.505799994
30.11.2007 17:00:00.000 GMT-0500,1.46384,1.47721,1.43091,1.45892,16020942.443900006
31.12.2007 17:00:00.000 GMT-0500,1.45903,1.49225,1.43626,1.48603,17688697.23430001
31.01.2008 17:00:00.000 GMT-0500,1.48600,1.52393,1.44390,1.51792,16097941.5485
29.02.2008 17:00:00.000 GMT-0500,1.51952,1.59056,1.51435,1.57878,16079296.138400007
