Local time,Open,High,Low,Close,Volume
31.05.2003 16:00:00.000 GMT-0500,1.17079,1.19263,1.13964,1.15086,26606720.313500017
30.06.2003 16:00:00.000 GMT-0500,1.15084,1.16069,1.11113,1.12398,29225253.02880002
31.07.2003 16:00:00.000 GMT-0500,1.12350,1.14250,1.07911,1.09817,27553440.1561
31.08.2003 16:00:00.000 GMT-0500,1.09873,1.17323,1.07606,1.16517,29502415.955800015
30.09.2003 16:00:00.000 GMT-0500,1.16515,1.18588,1.15309,1.15851,30853233.81920003
31.10.2003 17:00:00.000 GMT-0500,1.15762,1.20129,1.13769,1.19902,27006219.15730003
30.11.2003 17:00:00.000 GMT-0500,1.19703,1.26455,1.19354,1.25899,30488068.015000004
31.12.2003 17:00:00.000 GMT-0500,1.25915,1.28956,1.23323,1.24731,28767047.93450001
31.01.2004 17:00:00.000 GMT-0500,1.24680,1.29247,1.23718,1.24887,27134111.30430001
29.02.2004 17:00:00.000 GMT-0500,1.24820,1.25398,1.20546,1.23114,31123585.480900012
31.03.2004 17:00:00.000 GMT-0500,1.23130,1.23862,1.17573,1.19770,29821111.120600015
30.04.2004 16:00:00.000 GMT-0500,1.19770,1.22956,1.17708,1.21854,28395473.064
31.05.2004 16:00:00.000 GMT-0500,1.21824,1.23500,1.19512,1.21928,29968660.121600017
30.06.2004 16:00:00.000 GMT-0500,1.21938,1.24609,1.19912,1.20165,29772675.535500024
31.07.2004 16:00:00.000 GMT-0500,1.20169,1.23845,1.19695,1.21804,29786166.69910003
31.08.2004 16:00:00.000 GMT-0500,1.21785,1.24427,1.20242,1.24320,29588168.846000027
30.09.2004 16:00:00.000 GMT-0500,1.24330,1.28400,1.22257,1.27942,28216213.919000015
31.10.2004 17:00:00.000 GMT-0500,1.27997,1.33297,1.26575,1.32755,29354454.779700004
30.11.2004 17:00:00.000 GMT-0500,1.32780,1.36649,1.31391,1.35523,30257957.431700017
31.12.2004 17:00:00.000 GMT-0500,1.35464,1.35777,1.29197,1.30354,27293206.088500023
31.01.2005 17:00:00.000 GMT-0500,1.30357,1.32777,1.27299,1.32227,26496097.44250002
28.02.2005 17:00:00.000 GMT-0500,1.32256,1.34767,1.28536,1.29621,30674275.170900024
31.03.2005 17:00:00.000 GMT-0500,1.29595,1.31192,1.27667,1.28685,28432152.785900038
30.04.2005 16:00:00.000 GMT-0500,1.28628,1.29880,1.22888,1.22975,29600818.228200022
31.05.2005 16:00:00.000 GMT-0500,1.22934,1.23508,1.19861,1.21003,29271263.64080003
30.06.2005 16:00:00.000 GMT-0500,1.21003,1.22549,1.18663,1.21160,28078358.58550003
31.07.2005 16:00:00.000 GMT-0500,1.21149,1.24846,1.21132,1.23371,30841010.31140003
31.08.2005 16:00:00.000 GMT-0500,1.23321,1.25875,1.19778,1.20236,29244091.23580001
30.09.2005 16:00:00.000 GMT-0500,1.20552,1.22032,1.18742,1.19895,27673525.19290004
31.10.2005 17:00:00.000 GMT-0500,1.19894,1.20825,1.16404,1.17842,28915892.7019
30.11.2005 17:00:00.000 GMT-0500,1.17856,1.20586,1.16620,1.18439,28708186.619500026
31.12.2005 17:00:00.000 GMT-0500,1.18436,1.23204,1.18088,1.21524,28756699.051
31.01.2006 17:00:00.000 GMT-0500,1.21539,1.21620,1.18254,1.19202,25966877.122200012
28.02.2006 17:00:00.000 GMT-0500,1.19193,1.22061,1.18593,1.21132,29894804.19300003
31.03.2006 17:00:00.000 GMT-0500,1.21075,1.26387,1.20330,1.26320,26059519.3998
30.04.2006 16:00:00.000 GMT-0500,1.26220,1.29698,1.25545,1.28060,39388174.45329999
31.05.2006 16:00:00.000 GMT-0500,1.28026,1.29767,1.24764,1.27895,43496389.00550005
30.06.2006 16:00:00.000 GMT-0500,1.27799,1.28571,1.24439,1.27626,41412984.7827
31.07.2006 16:00:00.000 GMT-0500,1.27606,1.29374,1.26884,1.28091,45398409.55230004
31.08.2006 16:00:00.000 GMT-0500,1.28036,1.28737,1.26232,1.26705,42216739.98230002
30.09.2006 16:00:00.000 GMT-0500,1.26720,1.27808,1.24823,1.27587,44229101.07930004
31.10.2006 17:00:00.000 GMT-0500,1.27598,1.32732,1.26825,1.32392,44098889.68230005
30.11.2006 17:00:00.000 GMT-0500,1.32398,1.33653,1.30522,1.31920,42265587.2006
31.12.2006 17:00:00.000 GMT-0500,1.31937,1.32951,1.28668,1.30288,46133814.83520004
31.01.2007 17:00:00.000 GMT-0500,1.30300,1.32578,1.29095,1.32255,40187457.73290002
28.02.2007 17:00:00.000 GMT-0500,1.32274,1.34094,1.30723,1.33530,40326511.66250004
31.03.2007 16:00:00.000 GMT-0500,1.33710,1.36820,1.33179,1.36462,19349392.09680001
30.04.2007 16:00:00.000 GMT-0500,1.36461,1.36711,1.34079,1.34518,15126674.117999993
31.05.2007 16:00:00.000 GMT-0500,1.34515,1.35515,1.32621,1.35397,13568400.019600004
30.06.2007 16:00:00.000 GMT-0500,1.35358,1.38515,1.35258,1.36818,15441679.898400003
31.07.2007 16:00:00.000 GMT-0500,1.36803,1.38387,1.33594,1.36265,19717718.19570001
31.08.2007 16:00:00.000 GMT-0500,1.36276,1.42772,1.35480,1.42656,17245316.903899997
30.09.2007 16:00:00.000 GMT-0500,1.42723,1.45035,1.40093,1.44846,19815443.1353
31.10.2007 16:00:00.000 GMT-0500,1.44860,1.49646,1.43995,1.46313,18925294.30080001
30.11.2007 17:00:00.000 GMT-0500,1.46360,1.47701,1.43073,1.45882,18047301.569599994
31.12.2007 17:00:00.000 GMT-0500,1.45887,1.49219,1.43621,1.48573,19896125.381000016
31.01.2008 17:00:00.000 GMT-0500,1.48576,1.52383,1.44366,1.51762,18184408.505099997
29.02.2008 17:00:00.000 GMT-0500,1.51928,1.59021,1.51425,1.57868,18133168.647500012
