Local time,Open,High,Low,Close,Volume
11.05.2003 16:00:00.000 GMT-0500,1.14958,1.16244,1.13691,1.15735,5280327.3887
18.05.2003 16:00:00.000 GMT-0500,1.16634,1.18373,1.16013,1.18266,5257382.199400001
25.05.2003 16:00:00.000 GMT-0500,1.18270,1.19300,1.16917,1.17825,5273850.882599997
01.06.2003 16:00:00.000 GMT-0500,1.17149,1.18860,1.16287,1.17001,5187561.713200001
08.06.2003 16:00:00.000 GMT-0500,1.16940,1.18774,1.16564,1.18630,5304393.894599998
15.06.2003 16:00:00.000 GMT-0500,1.18694,1.19278,1.15511,1.16040,5297603.6016
22.06.2003 16:00:00.000 GMT-0500,1.16025,1.16215,1.13994,1.14254,5277834.5961000025
29.06.2003 16:00:00.000 GMT-0500,1.14308,1.16079,1.13974,1.14892,5276124.5018
06.07.2003 16:00:00.000 GMT-0500,1.14870,1.14900,1.12587,1.12990,5302935.1857
13.07.2003 16:00:00.000 GMT-0500,1.12934,1.13369,1.11123,1.12746,5278608.583900002
20.07.2003 16:00:00.000 GMT-0500,1.12685,1.15487,1.12411,1.15079,5276519.7618
27.07.2003 16:00:00.000 GMT-0500,1.15084,1.15380,1.11348,1.12541,5235950.486699999
03.08.2003 16:00:00.000 GMT-0500,1.12843,1.14265,1.12581,1.13083,5281815.683700003
10.08.2003 16:00:00.000 GMT-0500,1.12898,1.13798,1.12189,1.12663,5440871.306500002
17.08.2003 16:00:00.000 GMT-0500,1.12490,1.12690,1.08363,1.08761,5555896.2015
24.08.2003 16:00:00.000 GMT-0500,1.08566,1.09974,1.07930,1.09847,5579187.906499997
31.08.2003 16:00:00.000 GMT-0500,1.09943,1.11126,1.07616,1.11049,5452802.598499998
07.09.2003 16:00:00.000 GMT-0500,1.11043,1.13228,1.10461,1.12913,5603649.9844
14.09.2003 16:00:00.000 GMT-0500,1.12745,1.13837,1.11382,1.13792,5573526.0935999965
21.09.2003 16:00:00.000 GMT-0500,1.14343,1.15331,1.14134,1.14607,5603507.2146999985
28.09.2003 16:00:00.000 GMT-0500,1.14558,1.17677,1.13941,1.15810,5610767.572099998
05.10.2003 16:00:00.000 GMT-0500,1.15655,1.18604,1.15322,1.17958,5570874.908199998
12.10.2003 16:00:00.000 GMT-0500,1.18109,1.18150,1.15526,1.16812,5567838.0117
19.10.2003 16:00:00.000 GMT-0500,1.17098,1.18566,1.16016,1.17797,5578684.404399999
26.10.2003 17:00:00.000 GMT-0500,1.17742,1.17843,1.15628,1.15877,5586010.082199999
02.11.2003 17:00:00.000 GMT-0500,1.15778,1.16192,1.13783,1.15295,5598815.400399999
09.11.2003 17:00:00.000 GMT-0500,1.15034,1.18020,1.14431,1.17758,5601621.4997000005
16.11.2003 17:00:00.000 GMT-0500,1.17764,1.19772,1.17245,1.19152,5630777.892700001
23.11.2003 17:00:00.000 GMT-0500,1.19084,1.20145,1.17519,1.19928,5594296.691500001
30.11.2003 17:00:00.000 GMT-0500,1.19717,1.21781,1.19364,1.21660,5605562.591700001
07.12.2003 17:00:00.000 GMT-0500,1.21725,1.23063,1.21123,1.22756,5582666.587899999
14.12.2003 17:00:00.000 GMT-0500,1.21419,1.24382,1.21288,1.23739,5595930.314599999
21.12.2003 17:00:00.000 GMT-0500,1.24025,1.24702,1.23479,1.24272,5165698.966700004
28.12.2003 17:00:00.000 GMT-0500,1.24258,1.26460,1.24221,1.25832,4880371.901100001
04.01.2004 17:00:00.000 GMT-0500,1.25832,1.28676,1.25590,1.28149,5587307.6894999975
11.01.2004 17:00:00.000 GMT-0500,1.28538,1.28971,1.23504,1.23962,5598122.294799999
18.01.2004 17:00:00.000 GMT-0500,1.23676,1.27742,1.23337,1.25797,5647858.796699998
25.01.2004 17:00:00.000 GMT-0500,1.25742,1.26618,1.23506,1.24747,5580723.308499999
01.02.2004 17:00:00.000 GMT-0500,1.24696,1.27243,1.23897,1.27026,5640115.9084
08.02.2004 17:00:00.000 GMT-0500,1.26054,1.28918,1.25980,1.27315,5662521.7773
15.02.2004 17:00:00.000 GMT-0500,1.27444,1.29253,1.24942,1.25345,5632651.283199998
22.02.2004 17:00:00.000 GMT-0500,1.25263,1.27120,1.23732,1.24913,5620689.3987
29.02.2004 17:00:00.000 GMT-0500,1.24836,1.25413,1.20556,1.23657,5628664.873199998
07.03.2004 17:00:00.000 GMT-0500,1.23873,1.24588,1.21627,1.22171,5624349.209200001
14.03.2004 17:00:00.000 GMT-0500,1.21903,1.24335,1.21742,1.22855,5618887.3946
