Local time,Open,High,Low,Close,Volume
11.05.2003 16:00:00.000 GMT-0500,1.14888,1.16229,1.13675,1.15705,6361572.005999998
18.05.2003 16:00:00.000 GMT-0500,1.16564,1.18363,1.15998,1.18236,6376430.125500001
25.05.2003 16:00:00.000 GMT-0500,1.18200,1.19286,1.16909,1.17815,6377041.068700003
01.06.2003 16:00:00.000 GMT-0500,1.17079,1.18850,1.16273,1.16971,6267040.2682
08.06.2003 16:00:00.000 GMT-0500,1.16870,1.18758,1.16548,1.18600,6354750.220799998
15.06.2003 16:00:00.000 GMT-0500,1.18624,1.19263,1.15501,1.16010,6340781.298899999
22.06.2003 16:00:00.000 GMT-0500,1.15955,1.16205,1.13984,1.14224,6364727.922199999
29.06.2003 16:00:00.000 GMT-0500,1.14238,1.16069,1.13964,1.14862,6379951.2031000005
06.07.2003 16:00:00.000 GMT-0500,1.14800,1.14854,1.12577,1.12960,6342111.316799998
13.07.2003 16:00:00.000 GMT-0500,1.12864,1.13358,1.11113,1.12716,6354371.7991
20.07.2003 16:00:00.000 GMT-0500,1.12615,1.15477,1.12401,1.15049,6345972.815100001
27.07.2003 16:00:00.000 GMT-0500,1.15014,1.15365,1.11338,1.12531,6299191.7015
03.08.2003 16:00:00.000 GMT-0500,1.12773,1.14250,1.12564,1.13053,6356459.226899997
10.08.2003 16:00:00.000 GMT-0500,1.12882,1.13788,1.12169,1.12633,6569323.721099999
17.08.2003 16:00:00.000 GMT-0500,1.12420,1.12675,1.08350,1.08731,6695646.2914
24.08.2003 16:00:00.000 GMT-0500,1.08496,1.09964,1.07911,1.09817,6715085.713300003
31.08.2003 16:00:00.000 GMT-0500,1.09873,1.11116,1.07606,1.11019,6561778.622499999
07.09.2003 16:00:00.000 GMT-0500,1.10973,1.13208,1.10448,1.12883,6781754.262
14.09.2003 16:00:00.000 GMT-0500,1.12675,1.13823,1.11366,1.13762,6725945.293400001
21.09.2003 16:00:00.000 GMT-0500,1.14333,1.15321,1.14124,1.14577,6735923.767799999
28.09.2003 16:00:00.000 GMT-0500,1.14488,1.17668,1.13927,1.15780,6752514.834399996
