Local time,Open,High,Low,Close,Volume
12.05.2003 00:00:00.000 GMT-0500,1.15706,1.16100,1.15545,1.16077,89432.2012
12.05.2003 04:00:00.000 GMT-0500,1.16041,1.16244,1.15666,1.15876,90150.8008
12.05.2003 08:00:00.000 GMT-0500,1.15848,1.16066,1.15362,1.15553,309338.79689999996
12.05.2003 12:00:00.000 GMT-0500,1.15570,1.15730,1.15377,1.15457,378108.69920000003
12.05.2003 16:00:00.000 GMT-0500,1.15427,1.15751,1.15101,1.15150,95618.9004
12.05.2003 20:00:00.000 GMT-0500,1.15121,1.15193,1.14630,1.14968,96293.7012
13.05.2003 00:00:00.000 GMT-0500,1.14979,1.15558,1.14740,1.14958,88351.498
13.05.2003 04:00:00.000 GMT-0500,1.14973,1.15318,1.14916,1.15263,92453.4004
13.05.2003 08:00:00.000 GMT-0500,1.15264,1.15546,1.14882,1.15002,311556.69920000003
13.05.2003 12:00:00.000 GMT-0500,1.14997,1.15389,1.14970,1.15150,373457.1954
13.05.2003 16:00:00.000 GMT-0500,1.15190,1.15388,1.15119,1.15216,92544.9004
13.05.2003 20:00:00.000 GMT-0500,1.15160,1.15230,1.14870,1.15113,96381.1992
14.05.2003 00:00:00.000 GMT-0500,1.15126,1.15270,1.14681,1.15223,90219.6016
14.05.2003 04:00:00.000 GMT-0500,1.15241,1.15336,1.14761,1.14919,90573.7012
14.05.2003 08:00:00.000 GMT-0500,1.14941,1.15182,1.14726,1.14972,310483.1035
14.05.2003 12:00:00.000 GMT-0500,1.14993,1.15277,1.14921,1.14970,373698.8047
14.05.2003 16:00:00.000 GMT-0500,1.14983,1.14988,1.14681,1.14713,92479.4004
14.05.2003 20:00:00.000 GMT-0500,1.14727,1.14880,1.14210,1.14456,93187.1992
15.05.2003 00:00:00.000 GMT-0500,1.14444,1.14643,1.14263,1.14583,90667.498
15.05.2003 04:00:00.000 GMT-0500,1.14611,1.14855,1.14533,1.14749,88196.2012
15.05.2003 08:00:00.000 GMT-0500,1.14749,1.14775,1.14364,1.14567,311498.0977
15.05.2003 12:00:00.000 GMT-0500,1.14537,1.14712,1.13757,1.13877,376066.7929
15.05.2003 16:00:00.000 GMT-0500,1.13845,1.13953,1.13691,1.13881,95389.5
15.05.2003 20:00:00.000 GMT-0500,1.13891,1.14147,1.13879,1.14088,98403.0996
16.05.2003 00:00:00.000 GMT-0500,1.14090,1.14142,1.13832,1.14060,91692
16.05.2003 04:00:00.000 GMT-0500,1.14067,1.14863,1.14005,1.14810,90073.0996
16.05.2003 08:00:00.000 GMT-0500,1.14819,1.15567,1.14814,1.15443,310782.9043
16.05.2003 12:00:00.000 GMT-0500,1.15433,1.15786,1.15273,1.15735,373743.0937
16.05.2003 16:00:00.000 GMT-0500,1.15735,1.15735,1.15735,1.15735,0
16.05.2003 20:00:00.000 GMT-0500,1.15735,1.15735,1.15735,1.15735,0
17.05.2003 00:00:00.000 GMT-0500,1.15735,1.15735,1.15735,1.15735,0
17.05.2003 04:00:00.000 GMT-0500,1.15735,1.15735,1.15735,1.15735,0
17.05.2003 08:00:00.000 GMT-0500,1.15735,1.15735,1.15735,1.15735,0
17.05.2003 12:00:00.000 GMT-0500,1.15735,1.15735,1.15735,1.15735,0
17.05.2003 16:00:00.000 GMT-0500,1.15735,1.15735,1.15735,1.15735,0
17.05.2003 20:00:00.000 GMT-0500,1.15735,1.15735,1.15735,1.15735,0
18.05.2003 00:00:00.000 GMT-0500,1.15735,1.15735,1.15735,1.15735,0
18.05.2003 04:00:00.000 GMT-0500,1.15735,1.15735,1.15735,1.15735,0
18.05.2003 08:00:00.000 GMT-0500,1.15735,1.15735,1.15735,1.15735,0
18.05.2003 12:00:00.000 GMT-0500,1.15735,1.15735,1.15735,1.15735,0
18.05.2003 16:00:00.000 GMT-0500,1.16634,1.16851,1.16287,1.16688,95141.9004
18.05.2003 20:00:00.000 GMT-0500,1.16689,1.17088,1.16560,1.16944,97433.7988
19.05.2003 00:00:00.000 GMT-0500,1.16916,1.17128,1.16656,1.16904,88445.5
19.05.2003 04:00:00.000 GMT-0500,1.16947,1.17363,1.16564,1.16657,92925.0996
