Local time,Open,High,Low,Close,Volume
31.08.2003 16:00:00.000 GMT-0500,116.742,117.711,110.092,111.509,13146771.01619999
30.09.2003 16:00:00.000 GMT-0500,111.511,111.586,107.804,109.949,13787399.98080001
31.10.2003 17:00:00.000 GMT-0500,109.887,111.497,107.532,109.613,12090660.185300004
30.11.2003 17:00:00.000 GMT-0500,109.709,110.028,106.743,107.225,13689925.15449999
31.12.2003 17:00:00.000 GMT-0500,107.211,108.213,105.442,105.686,12830774.703899983
31.01.2004 17:00:00.000 GMT-0500,105.599,109.810,105.158,109.138,12106479.029399993
29.02.2004 17:00:00.000 GMT-0500,109.037,112.286,103.430,104.220,13961572.319900006
31.03.2004 17:00:00.000 GMT-0500,104.201,111.026,103.470,110.515,13323259.692800017
30.04.2004 16:00:00.000 GMT-0500,110.447,114.893,108.322,109.527,12708783.884800008
31.05.2004 16:00:00.000 GMT-0500,109.535,111.939,107.005,108.764,13495013.840900011
30.06.2004 16:00:00.000 GMT-0500,108.758,112.488,107.564,111.381,13417413.010700004
31.07.2004 16:00:00.000 GMT-0500,111.298,112.102,108.750,109.177,13421527.225600004
31.08.2004 16:00:00.000 GMT-0500,109.165,111.708,108.952,110.032,13261146.698699992
30.09.2004 16:00:00.000 GMT-0500,110.044,111.462,105.778,105.817,12653955.432599995
31.10.2004 17:00:00.000 GMT-0500,105.919,107.293,102.175,103.060,13187588.8279
30.11.2004 17:00:00.000 GMT-0500,103.056,106.187,101.843,102.612,13584031.903000014
31.12.2004 17:00:00.000 GMT-0500,102.720,105.175,101.584,103.680,12316845.601400014
31.01.2005 17:00:00.000 GMT-0500,103.671,106.844,103.350,104.609,11915712.900800012
28.02.2005 17:00:00.000 GMT-0500,104.595,107.679,103.501,107.156,13802049.515100004
31.03.2005 17:00:00.000 GMT-0500,107.162,108.877,104.603,104.753,12823674.865399994
30.04.2005 16:00:00.000 GMT-0500,104.878,108.623,104.198,108.585,13342268.39930001
31.05.2005 16:00:00.000 GMT-0500,108.602,111.022,106.464,110.943,13319891.821300011
30.06.2005 16:00:00.000 GMT-0500,110.970,113.561,109.682,112.548,12749505.708300008
31.07.2005 16:00:00.000 GMT-0500,112.557,112.792,109.045,110.607,13927464.9984
31.08.2005 16:00:00.000 GMT-0500,110.588,113.714,108.773,113.521,13252628.959399987
30.09.2005 16:00:00.000 GMT-0500,113.701,116.487,113.022,116.418,12404142.52259999
31.10.2005 17:00:00.000 GMT-0500,116.396,119.941,116.390,119.805,12850075.997299999
30.11.2005 17:00:00.000 GMT-0500,119.812,121.391,115.521,117.725,12733626.306100009
31.12.2005 17:00:00.000 GMT-0500,117.766,117.895,113.464,117.185,12802821.892899992
31.01.2006 17:00:00.000 GMT-0500,117.187,119.391,115.702,115.745,11637893.916100001
28.02.2006 17:00:00.000 GMT-0500,115.752,119.191,115.505,117.772,13365820.592600003
31.03.2006 17:00:00.000 GMT-0500,117.805,118.898,113.655,113.843,11688910.501300007
30.04.2006 16:00:00.000 GMT-0500,113.713,114.161,109.028,112.645,13460929.894600004
31.05.2006 16:00:00.000 GMT-0500,112.633,116.696,111.329,114.455,12880243.788500002
30.06.2006 16:00:00.000 GMT-0500,114.407,117.870,113.455,114.685,12237202.320200004
31.07.2006 16:00:00.000 GMT-0500,114.689,117.482,113.822,117.403,13410913.512799995
31.08.2006 16:00:00.000 GMT-0500,117.378,118.277,115.580,118.185,12574515.186800014
30.09.2006 16:00:00.000 GMT-0500,118.121,119.883,116.630,116.977,13156149.4755
31.10.2006 17:00:00.000 GMT-0500,116.956,118.598,115.382,115.801,13058657.916600008
30.11.2006 17:00:00.000 GMT-0500,115.802,119.236,114.452,119.102,12572788.194599992
31.12.2006 17:00:00.000 GMT-0500,119.016,122.185,117.993,120.706,13675828.084600002
31.01.2007 17:00:00.000 GMT-0500,120.678,122.100,117.535,118.558,11908839.276699992
28.02.2007 17:00:00.000 GMT-0500,118.535,118.867,115.162,117.850,12678129.478400012
31.03.2007 16:00:00.000 GMT-0500,117.980,119.880,117.510,119.530,16530707.944200004
30.04.2007 16:00:00.000 GMT-0500,119.530,121.990,119.080,121.740,51772839.43770005
31.05.2007 16:00:00.000 GMT-0500,121.730,124.145,120.780,123.200,54446158.57329999
30.06.2007 16:00:00.000 GMT-0500,123.162,123.680,118.020,118.630,82773737.75769985
31.07.2007 16:00:00.000 GMT-0500,118.630,119.850,111.620,115.800,96082765.11869968
31.08.2007 16:00:00.000 GMT-0500,115.688,116.485,112.610,114.830,51250561.817600034
30.09.2007 16:00:00.000 GMT-0500,114.753,117.955,113.260,115.440,57960897.57060007
31.10.2007 16:00:00.000 GMT-0500,115.440,115.935,107.230,111.221,38331942.1806
30.11.2007 17:00:00.000 GMT-0500,111.060,114.670,109.570,111.707,14953505.841200005
31.12.2007 17:00:00.000 GMT-0500,111.689,112.220,104.970,106.450,37797009.07580004
31.01.2008 17:00:00.000 GMT-0500,106.450,108.615,103.682,103.715,9527432.9454
29.02.2008 17:00:00.000 GMT-0500,103.600,104.190,95.775,99.710,18089921.5459
31.03.2008 16:00:00.000 GMT-0500,99.710,104.895,99.595,103.905,14424979.753800018
30.04.2008 16:00:00.000 GMT-0500,103.900,105.885,102.585,105.550,8614362.6877
31.05.2008 16:00:00.000 GMT-0500,105.112,108.595,103.880,106.225,9024406.048400003
30.06.2008 16:00:00.000 GMT-0500,106.220,108.390,103.780,107.930,11125920.796199983
31.07.2008 16:00:00.000 GMT-0500,107.930,110.670,107.290,108.820,13587225.841400016
31.08.2008 16:00:00.000 GMT-0500,108.445,109.180,103.520,106.120,21863612.3386
30.09.2008 16:00:00.000 GMT-0500,106.120,106.540,90.935,98.495,258933324.2171001
31.10.2008 16:00:00.000 GMT-0500,98.665,100.565,93.570,95.528,10897850.290199982
30.11.2008 17:00:00.000 GMT-0500,95.481,95.590,87.145,90.657,8423672.496099997
31.12.2008 17:00:00.000 GMT-0500,90.651,94.655,87.135,89.945,11425333.664899997
31.01.2009 17:00:00.000 GMT-0500,89.987,98.720,88.600,97.605,12605706.141499992
28.02.2009 17:00:00.000 GMT-0500,97.770,99.690,93.550,98.965,14155287.228300007
31.03.2009 16:00:00.000 GMT-0500,98.965,101.450,95.630,98.640,12511226.382799998
30.04.2009 16:00:00.000 GMT-0500,98.650,99.785,93.865,95.370,8850446.828299994
31.05.2009 16:00:00.000 GMT-0500,95.140,98.900,94.455,96.370,8479235.044799991
30.06.2009 16:00:00.000 GMT-0500,96.370,96.995,91.740,94.710,21654827.606399998
31.07.2009 16:00:00.000 GMT-0500,94.765,97.795,92.545,93.130,13887875.034300014
31.08.2009 16:00:00.000 GMT-0500,93.135,93.445,88.245,89.725,11592846.729400001
30.09.2009 16:00:00.000 GMT-0500,89.725,92.330,88.015,90.110,12576264.477599999
31.10.2009 16:00:00.000 GMT-0500,89.685,91.325,84.830,86.420,9468649.364400005
30.11.2009 17:00:00.000 GMT-0500,86.415,93.155,86.170,93.030,10781215.763000006
31.12.2009 17:00:00.000 GMT-0500,92.995,93.800,89.145,90.280,12436047.126000002
31.01.2010 17:00:00.000 GMT-0500,89.900,92.160,88.560,89.005,8018481.789199999
28.02.2010 17:00:00.000 GMT-0500,88.890,93.640,88.145,93.480,9866276.438299995
31.03.2010 16:00:00.000 GMT-0500,93.480,94.790,91.605,93.885,9288257.96960001
