Local time,Open,High,Low,Close,Volume
30.04.2003 16:00:00.000 GMT-0500,118.940,119.616,115.030,119.283,11721085.796600005
31.05.2003 16:00:00.000 GMT-0500,119.521,120.249,117.143,119.683,12185220.710199997
30.06.2003 16:00:00.000 GMT-0500,119.670,120.735,116.650,120.507,13424971.797399998
31.07.2003 16:00:00.000 GMT-0500,120.518,120.694,116.130,116.872,12550982.2799
31.08.2003 16:00:00.000 GMT-0500,116.692,117.698,110.076,111.459,13588618.634700013
30.09.2003 16:00:00.000 GMT-0500,111.461,111.571,107.794,109.919,14225247.817999993
31.10.2003 17:00:00.000 GMT-0500,109.873,111.477,107.522,109.583,12462719.991800003
30.11.2003 17:00:00.000 GMT-0500,109.693,109.998,106.723,107.195,14088669.255300015
31.12.2003 17:00:00.000 GMT-0500,107.195,108.193,105.422,105.656,13244055.230400002
31.01.2004 17:00:00.000 GMT-0500,105.585,109.792,105.142,109.108,12525238.500900008
29.02.2004 17:00:00.000 GMT-0500,109.023,112.276,103.416,104.190,14443640.320799995
31.03.2004 17:00:00.000 GMT-0500,104.185,111.016,103.450,110.465,13813438.387500003
30.04.2004 16:00:00.000 GMT-0500,110.397,114.872,108.305,109.477,13174197.644899992
31.05.2004 16:00:00.000 GMT-0500,109.525,111.929,106.994,108.714,13959364.54269999
30.06.2004 16:00:00.000 GMT-0500,108.738,112.472,107.544,111.331,13867905.285099993
31.07.2004 16:00:00.000 GMT-0500,111.248,112.090,108.734,109.127,13877145.40600001
31.08.2004 16:00:00.000 GMT-0500,109.155,111.693,108.939,109.982,13720760.013000004
30.09.2004 16:00:00.000 GMT-0500,110.024,111.449,105.763,105.767,13102673.981899993
31.10.2004 17:00:00.000 GMT-0500,105.905,107.277,102.155,103.030,13638016.429800019
30.11.2004 17:00:00.000 GMT-0500,103.040,106.165,101.825,102.582,14085976.32839999
31.12.2004 17:00:00.000 GMT-0500,102.706,105.155,101.568,103.650,12715119.407900002
31.01.2005 17:00:00.000 GMT-0500,103.657,106.824,103.335,104.579,12354214.690199986
28.02.2005 17:00:00.000 GMT-0500,104.581,107.667,103.476,107.126,14262370.464500012
31.03.2005 17:00:00.000 GMT-0500,107.148,108.853,104.584,104.703,13249313.434099998
30.04.2005 16:00:00.000 GMT-0500,104.828,108.586,104.187,108.535,13824618.552399997
31.05.2005 16:00:00.000 GMT-0500,108.552,111.008,106.447,110.893,13723662.679000001
30.06.2005 16:00:00.000 GMT-0500,110.920,113.541,109.663,112.498,13128944.208500007
31.07.2005 16:00:00.000 GMT-0500,112.507,112.781,109.025,110.557,14386513.923399998
31.08.2005 16:00:00.000 GMT-0500,110.538,113.694,108.756,113.471,13682630.785899986
30.09.2005 16:00:00.000 GMT-0500,113.651,116.477,113.008,116.388,12809006.905299997
31.10.2005 17:00:00.000 GMT-0500,116.380,119.919,116.370,119.775,13277155.222499998
30.11.2005 17:00:00.000 GMT-0500,119.796,121.375,115.503,117.695,13192669.193100007
31.12.2005 17:00:00.000 GMT-0500,117.750,117.880,113.444,117.155,13241110.780000005
31.01.2006 17:00:00.000 GMT-0500,117.171,119.374,115.689,115.715,12045494.568000002
28.02.2006 17:00:00.000 GMT-0500,115.736,119.170,115.485,117.742,13822812.8226
31.03.2006 17:00:00.000 GMT-0500,117.755,118.882,113.640,113.793,12038159.230900008
30.04.2006 16:00:00.000 GMT-0500,113.663,114.146,109.015,112.595,13913296.612599995
31.05.2006 16:00:00.000 GMT-0500,112.583,116.673,111.319,114.405,13316704.416600004
30.06.2006 16:00:00.000 GMT-0500,114.397,117.857,113.433,114.635,12649892.025900012
31.07.2006 16:00:00.000 GMT-0500,114.639,117.472,113.795,117.353,13862379.907600014
31.08.2006 16:00:00.000 GMT-0500,117.358,118.262,115.565,118.135,13011249.513600001
30.09.2006 16:00:00.000 GMT-0500,118.101,119.870,116.620,116.947,13622253.779200016
31.10.2006 17:00:00.000 GMT-0500,116.940,118.577,115.365,115.771,13472514.899800006
30.11.2006 17:00:00.000 GMT-0500,115.786,119.220,114.441,119.072,12985449.9948
31.12.2006 17:00:00.000 GMT-0500,119.000,122.165,117.975,120.676,14165998.6997
31.01.2007 17:00:00.000 GMT-0500,120.663,122.087,117.515,118.528,12311264.68799999
28.02.2007 17:00:00.000 GMT-0500,118.519,118.847,115.148,117.800,13104966.088800004
31.03.2007 16:00:00.000 GMT-0500,117.960,119.860,117.500,119.510,17152520.2723
30.04.2007 16:00:00.000 GMT-0500,119.500,121.975,119.070,121.730,52691425.436700076
31.05.2007 16:00:00.000 GMT-0500,121.720,124.140,120.770,123.170,56567014.182500064
30.06.2007 16:00:00.000 GMT-0500,123.148,123.660,118.010,118.600,85471649.32209982
31.07.2007 16:00:00.000 GMT-0500,118.600,119.830,111.590,115.750,93591553.6714998
31.08.2007 16:00:00.000 GMT-0500,115.678,116.470,112.600,114.780,45794001.530600004
30.09.2007 16:00:00.000 GMT-0500,114.743,117.950,113.250,115.430,55255779.1106
31.10.2007 16:00:00.000 GMT-0500,115.430,115.920,107.215,111.205,40958552.65720004
30.11.2007 17:00:00.000 GMT-0500,111.010,114.660,109.555,111.677,13850977.963999989
31.12.2007 17:00:00.000 GMT-0500,111.659,112.090,104.945,106.420,37127019.44200002
31.01.2008 17:00:00.000 GMT-0500,106.420,108.610,103.672,103.705,9284635.064499995
29.02.2008 17:00:00.000 GMT-0500,103.610,104.180,95.710,99.680,19163791.0527
31.03.2008 16:00:00.000 GMT-0500,99.680,104.880,99.580,103.885,14763408.847399982
30.04.2008 16:00:00.000 GMT-0500,103.830,105.870,102.570,105.480,9049326.728999997
31.05.2008 16:00:00.000 GMT-0500,105.102,108.590,103.865,106.190,10714529.407399993
30.06.2008 16:00:00.000 GMT-0500,106.190,108.370,103.770,107.900,11643662.885899995
31.07.2008 16:00:00.000 GMT-0500,107.900,110.660,107.280,108.800,12344105.816000003
31.08.2008 16:00:00.000 GMT-0500,108.385,109.175,103.515,106.090,19486337.794299986
30.09.2008 16:00:00.000 GMT-0500,106.090,106.525,90.880,98.435,234374654.3021002
31.10.2008 16:00:00.000 GMT-0500,98.615,100.555,93.550,95.518,10904582.61630001
30.11.2008 17:00:00.000 GMT-0500,95.471,95.555,87.125,90.643,10154811.336700005
31.12.2008 17:00:00.000 GMT-0500,90.625,94.630,87.085,89.910,11946748.27909999
31.01.2009 17:00:00.000 GMT-0500,89.977,98.715,88.590,97.570,11882640.575899994
28.02.2009 17:00:00.000 GMT-0500,97.730,99.675,93.540,98.960,13013787.267599998
31.03.2009 16:00:00.000 GMT-0500,98.945,101.440,95.625,98.625,10789104.955400003
30.04.2009 16:00:00.000 GMT-0500,98.610,99.750,93.850,95.325,11291138.010900011
31.05.2009 16:00:00.000 GMT-0500,95.130,98.880,94.445,96.340,9665630.77860001
30.06.2009 16:00:00.000 GMT-0500,96.340,96.985,91.735,94.655,18851115.14729999
31.07.2009 16:00:00.000 GMT-0500,94.755,97.785,92.540,93.110,11120786.322300002
31.08.2009 16:00:00.000 GMT-0500,93.110,93.440,88.220,89.715,9486026.512900002
30.09.2009 16:00:00.000 GMT-0500,89.710,92.320,88.005,90.065,10625744.582399987
31.10.2009 16:00:00.000 GMT-0500,89.665,91.310,84.800,86.400,10116240.875300003
30.11.2009 17:00:00.000 GMT-0500,86.390,93.140,86.160,93.020,11070117.2852
31.12.2009 17:00:00.000 GMT-0500,92.979,93.765,89.135,90.260,11964235.038800003
31.01.2010 17:00:00.000 GMT-0500,89.875,92.145,88.550,88.935,8374511.467600002
28.02.2010 17:00:00.000 GMT-0500,88.845,93.635,88.135,93.450,9815495.198800003
31.03.2010 16:00:00.000 GMT-0500,93.450,94.775,91.595,93.815,10381749.355400002
30.04.2010 16:00:00.000 GMT-0500,93.830,94.980,88.100,91.250,10781104.822800001
31.05.2010 16:00:00.000 GMT-0500,91.250,92.880,88.280,88.430,8434626.472400004
30.06.2010 16:00:00.000 GMT-0500,88.430,89.150,85.945,86.455,8447691.371900007
31.07.2010 16:00:00.000 GMT-0500,86.316,86.880,83.590,84.185,8584169.109100003
31.08.2010 16:00:00.000 GMT-0500,84.185,85.930,82.875,83.510,7893089.703499996
30.09.2010 16:00:00.000 GMT-0500,83.510,83.985,80.372,80.372,5354913.563299998
31.10.2010 16:00:00.000 GMT-0500,80.287,84.398,80.238,83.678,1647070.7970999987
30.11.2010 17:00:00.000 GMT-0500,83.678,84.509,80.936,81.119,1774709.7018999998
31.12.2010 17:00:00.000 GMT-0500,81.216,83.674,80.916,82.029,2180306.4502
31.01.2011 17:00:00.000 GMT-0500,82.027,83.968,81.207,81.775,2493498.713999998
28.02.2011 17:00:00.000 GMT-0500,81.775,83.292,76.388,83.116,3574941.226799998
31.03.2011 16:00:00.000 GMT-0500,83.116,85.519,81.040,81.162,2998979.8541999985
30.04.2011 16:00:00.000 GMT-0500,81.091,82.227,79.563,81.508,3267610.9662000006
31.05.2011 16:00:00.000 GMT-0500,81.507,81.559,79.694,80.559,2660021.0638999995
30.06.2011 16:00:00.000 GMT-0500,80.546,81.470,76.713,76.768,2021968.7601000008
31.07.2011 16:00:00.000 GMT-0500,77.134,80.232,75.950,76.658,2689547.339200003
31.08.2011 16:00:00.000 GMT-0500,76.658,77.852,76.100,77.034,2060087.9477000006
30.09.2011 16:00:00.000 GMT-0500,77.094,79.526,75.573,78.161,1763875.0501999985
31.10.2011 16:00:00.000 GMT-0500,78.160,78.987,76.572,77.611,1672717.659800001
30.11.2011 17:00:00.000 GMT-0500,77.608,78.223,76.865,76.901,1482858.9686000014
31.12.2011 17:00:00.000 GMT-0500,76.935,78.281,76.157,76.262,1696574.5260999987
31.01.2012 17:00:00.000 GMT-0500,76.264,81.667,76.022,81.144,1754900.5506000018
29.02.2012 17:00:00.000 GMT-0500,81.142,84.178,80.580,82.865,2201760.3172999993
31.03.2012 16:00:00.000 GMT-0500,83.021,83.302,79.733,79.816,2047745.2679000003
30.04.2012 16:00:00.000 GMT-0500,79.816,80.610,78.210,78.311,2541535.1107999994
31.05.2012 16:00:00.000 GMT-0500,78.312,80.619,77.660,79.782,2488328.3374
30.06.2012 16:00:00.000 GMT-0500,79.854,80.092,77.935,78.111,1678589.0940999994
31.07.2012 16:00:00.000 GMT-0500,78.113,79.657,77.905,78.379,1548891.1871000004
31.08.2012 16:00:00.000 GMT-0500,78.335,79.215,77.160,77.921,1536824.3388999987
30.09.2012 16:00:00.000 GMT-0500,77.970,80.375,77.789,79.760,1741903.994100002
31.10.2012 16:00:00.000 GMT-0500,79.762,82.834,79.074,82.468,1867902.6876
30.11.2012 17:00:00.000 GMT-0500,82.386,86.782,81.717,86.741,1827903.0273999998
31.12.2012 17:00:00.000 GMT-0500,86.723,91.773,86.535,91.709,3397583.8958999985
31.01.2013 17:00:00.000 GMT-0500,91.704,94.557,90.858,92.552,3435722.209
28.02.2013 17:00:00.000 GMT-0500,92.553,96.707,92.439,94.195,3335246.7279000017
31.03.2013 16:00:00.000 GMT-0500,94.258,99.946,92.568,97.425,4527138.3045
30.04.2013 16:00:00.000 GMT-0500,97.427,103.732,97.022,100.472,4116845.0354
31.05.2013 16:00:00.000 GMT-0500,100.440,100.720,93.790,99.135,3885717.7359
30.06.2013 16:00:00.000 GMT-0500,99.226,101.532,97.583,97.866,2523873.124100001
31.07.2013 16:00:00.000 GMT-0500,97.857,99.947,95.806,98.173,2516353.2388000004
31.08.2013 16:00:00.000 GMT-0500,98.422,100.606,97.497,98.206,2097175.3549999986
30.09.2013 16:00:00.000 GMT-0500,98.214,99.004,96.567,98.353,2325787.0598000004
31.10.2013 16:00:00.000 GMT-0500,98.350,102.609,97.608,102.407,2309870.5597999967
30.11.2013 17:00:00.000 GMT-0500,102.496,105.412,101.620,105.259,2281578.6054000007
31.12.2013 17:00:00.000 GMT-0500,105.229,105.441,101.767,101.940,2851884.1829999997
31.01.2014 17:00:00.000 GMT-0500,101.998,102.827,100.753,101.735,2264153.1927999994
28.02.2014 17:00:00.000 GMT-0500,101.482,103.762,101.200,103.224,1936965.1494000016
31.03.2014 16:00:00.000 GMT-0500,103.222,104.127,101.323,102.232,1720820.3970000024
30.04.2014 16:00:00.000 GMT-0500,102.232,103.020,100.821,101.756,1700733.3662999996
31.05.2014 16:00:00.000 GMT-0500,101.854,102.796,101.237,101.323,1694555.1790000007
30.06.2014 16:00:00.000 GMT-0500,101.323,103.084,101.067,102.793,1768832.7496999996
31.07.2014 16:00:00.000 GMT-0500,102.794,104.272,101.510,104.076,1667822.2776000008
31.08.2014 16:00:00.000 GMT-0500,104.165,109.846,104.101,109.648,2315571.5569000007
30.09.2014 16:00:00.000 GMT-0500,109.631,112.474,105.195,112.299,2910882.5406000023
31.10.2014 16:00:00.000 GMT-0500,112.699,118.978,112.570,118.576,2527982.743499996
30.11.2014 17:00:00.000 GMT-0500,118.738,121.843,115.567,119.667,2633515.6081999987
31.12.2014 17:00:00.000 GMT-0500,119.724,120.741,115.853,117.501,3205123.3766999985
