Local time,Open,High,Low,Close,Volume
11.05.2003 16:00:00.000 GMT-0500,117.296,117.548,115.292,115.948,2823306.6111999997
18.05.2003 16:00:00.000 GMT-0500,115.628,117.776,115.040,116.871,2838496.3907
25.05.2003 16:00:00.000 GMT-0500,116.813,119.626,116.180,119.293,2837730.0889999988
01.06.2003 16:00:00.000 GMT-0500,119.571,119.645,117.352,118.715,2790221.004099999
08.06.2003 16:00:00.000 GMT-0500,118.687,118.782,117.164,117.507,2818078.296899999
15.06.2003 16:00:00.000 GMT-0500,117.377,119.094,117.153,118.318,2822387.0999000003
22.06.2003 16:00:00.000 GMT-0500,118.414,120.064,117.317,119.669,2829877.8116000006
29.06.2003 16:00:00.000 GMT-0500,119.607,120.263,117.849,118.143,2809319.1032999996
06.07.2003 16:00:00.000 GMT-0500,118.009,118.686,117.367,117.685,2834484.1093999995
13.07.2003 16:00:00.000 GMT-0500,117.792,119.254,116.675,118.404,2822430.096699999
20.07.2003 16:00:00.000 GMT-0500,118.524,119.419,118.228,118.876,2802748.9844000014
27.07.2003 16:00:00.000 GMT-0500,119.276,120.751,118.777,120.014,2806705.1007
03.08.2003 16:00:00.000 GMT-0500,120.178,120.627,118.805,118.988,2624145.4005999984
10.08.2003 16:00:00.000 GMT-0500,119.070,119.673,118.170,119.213,2937813.9954999993
17.08.2003 16:00:00.000 GMT-0500,119.202,119.782,117.297,117.540,2991008.9861999983
24.08.2003 16:00:00.000 GMT-0500,117.637,118.004,116.146,116.922,3018715.0864999997
31.08.2003 16:00:00.000 GMT-0500,116.742,117.244,115.733,116.817,2919055.315500002
07.09.2003 16:00:00.000 GMT-0500,116.827,117.711,116.060,117.294,2973147.104600001
14.09.2003 16:00:00.000 GMT-0500,117.301,117.680,113.605,113.958,3001516.201100001
21.09.2003 16:00:00.000 GMT-0500,113.579,113.579,110.911,111.723,3045482.2903999994
28.09.2003 16:00:00.000 GMT-0500,111.785,112.057,110.092,110.878,3016245.6026999997
05.10.2003 16:00:00.000 GMT-0500,111.019,111.325,108.274,108.710,2990737.300799999
12.10.2003 16:00:00.000 GMT-0500,108.455,110.293,108.260,109.365,2955149.889799999
19.10.2003 16:00:00.000 GMT-0500,109.055,110.585,108.777,109.316,3021143.7970000003
26.10.2003 17:00:00.000 GMT-0500,109.257,110.220,107.804,109.949,3011693.4951
02.11.2003 17:00:00.000 GMT-0500,109.887,111.497,109.031,109.370,3017695.3077000002
09.11.2003 17:00:00.000 GMT-0500,109.317,109.641,107.850,108.358,3029689.0811999994
16.11.2003 17:00:00.000 GMT-0500,108.321,109.735,107.532,108.754,3041751.797799999
23.11.2003 17:00:00.000 GMT-0500,108.790,110.022,108.715,109.613,3001523.9986
30.11.2003 17:00:00.000 GMT-0500,109.709,110.028,107.502,107.715,3022746.399199999
07.12.2003 17:00:00.000 GMT-0500,107.668,108.716,106.743,107.860,3040459.379900001
14.12.2003 17:00:00.000 GMT-0500,108.345,108.389,107.181,107.808,3011660.3886000006
21.12.2003 17:00:00.000 GMT-0500,107.657,107.939,106.881,107.442,2843127.092
28.12.2003 17:00:00.000 GMT-0500,107.338,107.720,106.720,107.050,2543424.3861999996
04.01.2004 17:00:00.000 GMT-0500,107.036,108.213,105.905,106.776,2981547.2873999993
11.01.2004 17:00:00.000 GMT-0500,106.594,107.001,105.738,106.616,3016530.9140999992
18.01.2004 17:00:00.000 GMT-0500,106.604,107.900,105.734,106.731,3029861.607500001
25.01.2004 17:00:00.000 GMT-0500,106.562,106.730,105.442,105.686,3031342.403499998
01.02.2004 17:00:00.000 GMT-0500,105.599,106.794,105.222,105.455,3025821.568199999
08.02.2004 17:00:00.000 GMT-0500,105.646,106.042,105.158,105.439,3029078.4853999997
15.02.2004 17:00:00.000 GMT-0500,105.453,109.330,105.340,109.026,3009086.1857999996
22.02.2004 17:00:00.000 GMT-0500,108.961,109.810,108.017,109.138,3042492.7900000005
29.02.2004 17:00:00.000 GMT-0500,109.037,112.286,108.859,112.009,3039597.695700001
07.03.2004 17:00:00.000 GMT-0500,112.081,112.286,110.239,110.780,3025023.413099999
