Local time,Open,High,Low,Close,Volume
11.05.2003 16:00:00.000 GMT-0500,117.286,117.528,115.282,115.898,2929703.1915000007
18.05.2003 16:00:00.000 GMT-0500,115.578,117.752,115.030,116.821,2929517.7920999983
25.05.2003 16:00:00.000 GMT-0500,116.793,119.616,116.170,119.267,2931425.0978999985
01.06.2003 16:00:00.000 GMT-0500,119.521,119.631,117.326,118.665,2867783.173899999
08.06.2003 16:00:00.000 GMT-0500,118.637,118.760,117.154,117.457,2900370.9250000003
15.06.2003 16:00:00.000 GMT-0500,117.327,119.068,117.143,118.268,2920538.3914
22.06.2003 16:00:00.000 GMT-0500,118.364,120.044,117.304,119.619,2910892.0117999986
29.06.2003 16:00:00.000 GMT-0500,119.597,120.249,117.829,118.093,2921410.318700001
06.07.2003 16:00:00.000 GMT-0500,117.959,118.676,117.357,117.635,2932555.0879000006
13.07.2003 16:00:00.000 GMT-0500,117.742,119.224,116.650,118.354,2922215.106499999
20.07.2003 16:00:00.000 GMT-0500,118.504,119.396,118.218,118.826,2906697.4092999995
27.07.2003 16:00:00.000 GMT-0500,119.226,120.735,118.757,119.994,2887875.1886999994
03.08.2003 16:00:00.000 GMT-0500,120.128,120.617,118.786,118.974,2710999.876199999
10.08.2003 16:00:00.000 GMT-0500,119.050,119.659,118.151,119.163,3055752.8067999994
17.08.2003 16:00:00.000 GMT-0500,119.182,119.764,117.281,117.490,3097961.1930999993
24.08.2003 16:00:00.000 GMT-0500,117.587,117.984,116.130,116.872,3126123.2982
31.08.2003 16:00:00.000 GMT-0500,116.692,117.231,115.723,116.767,3008377.8027000003
07.09.2003 16:00:00.000 GMT-0500,116.777,117.698,116.044,117.244,3098831.8157999986
14.09.2003 16:00:00.000 GMT-0500,117.251,117.670,113.585,113.908,3091049.2122
21.09.2003 16:00:00.000 GMT-0500,113.569,113.569,110.894,111.673,3128484.6106999987
28.09.2003 16:00:00.000 GMT-0500,111.735,112.047,110.076,110.828,3127062.5869000005
05.10.2003 16:00:00.000 GMT-0500,111.009,111.307,108.264,108.660,3079004.2977999994
12.10.2003 16:00:00.000 GMT-0500,108.445,110.267,108.250,109.315,3050004.3871999993
19.10.2003 16:00:00.000 GMT-0500,109.005,110.564,108.759,109.266,3115547.2110999995
26.10.2003 17:00:00.000 GMT-0500,109.243,110.198,107.794,109.919,3115504.5283000004
02.11.2003 17:00:00.000 GMT-0500,109.873,111.477,109.018,109.340,3128792.2941
09.11.2003 17:00:00.000 GMT-0500,109.303,109.627,107.836,108.328,3123026.5037
16.11.2003 17:00:00.000 GMT-0500,108.307,109.720,107.522,108.724,3145129.005
23.11.2003 17:00:00.000 GMT-0500,108.770,110.002,108.700,109.583,3065772.1889999993
30.11.2003 17:00:00.000 GMT-0500,109.693,109.998,107.492,107.685,3131112.6876000008
07.12.2003 17:00:00.000 GMT-0500,107.654,108.696,106.723,107.830,3118950.6886000014
14.12.2003 17:00:00.000 GMT-0500,108.331,108.374,107.171,107.778,3103724.2832000004
21.12.2003 17:00:00.000 GMT-0500,107.643,107.925,106.867,107.412,2932663.3965
28.12.2003 17:00:00.000 GMT-0500,107.322,107.710,106.695,107.020,2610405.6881000004
04.01.2004 17:00:00.000 GMT-0500,107.026,108.193,105.883,106.746,3063288.7834999994
11.01.2004 17:00:00.000 GMT-0500,106.580,106.990,105.712,106.586,3115249.5851000003
18.01.2004 17:00:00.000 GMT-0500,106.590,107.880,105.724,106.701,3142724.782099999
25.01.2004 17:00:00.000 GMT-0500,106.548,106.711,105.422,105.656,3114604.5910000005
01.02.2004 17:00:00.000 GMT-0500,105.585,106.774,105.207,105.425,3129788.5988
08.02.2004 17:00:00.000 GMT-0500,105.630,106.022,105.142,105.409,3135318.9943
15.02.2004 17:00:00.000 GMT-0500,105.439,109.320,105.330,108.996,3107628.0121
22.02.2004 17:00:00.000 GMT-0500,108.945,109.792,108.002,109.108,3152502.8956999993
29.02.2004 17:00:00.000 GMT-0500,109.023,112.266,108.843,111.979,3150480.0928
07.03.2004 17:00:00.000 GMT-0500,112.065,112.276,110.224,110.750,3135151.0919
14.03.2004 17:00:00.000 GMT-0500,110.664,111.044,106.373,106.664,3143595.520800001
21.03.2004 17:00:00.000 GMT-0500,106.789,107.634,105.493,105.982,3137646.0028
28.03.2004 17:00:00.000 GMT-0500,105.509,106.199,103.416,104.436,3136288.8107999987
04.04.2004 16:00:00.000 GMT-0500,104.453,107.150,104.104,106.340,3050134.6184
11.04.2004 16:00:00.000 GMT-0500,106.334,109.212,105.025,107.747,3171490.4825999998
18.04.2004 16:00:00.000 GMT-0500,107.678,109.877,107.583,108.922,3156645.3049999992
