Local time,Open,High,Low,Close,Volume
12.05.2003 00:00:00.000 GMT-0500,116.868,116.931,116.318,116.365,47298.3994
12.05.2003 04:00:00.000 GMT-0500,116.351,116.748,116.321,116.374,46179.8994
12.05.2003 08:00:00.000 GMT-0500,116.430,116.957,116.367,116.917,169294.50290000002
12.05.2003 12:00:00.000 GMT-0500,116.904,117.075,116.796,117.075,209122.6992
12.05.2003 16:00:00.000 GMT-0500,117.063,117.259,116.810,117.209,47420.999
12.05.2003 20:00:00.000 GMT-0500,117.217,117.548,117.145,117.285,47669.6006
13.05.2003 00:00:00.000 GMT-0500,117.274,117.295,116.352,117.093,46198
13.05.2003 04:00:00.000 GMT-0500,117.107,117.289,116.568,116.621,49936.2998
13.05.2003 08:00:00.000 GMT-0500,116.587,116.881,116.446,116.493,170410.9033
13.05.2003 12:00:00.000 GMT-0500,116.513,116.681,116.426,116.611,204723.8008
13.05.2003 16:00:00.000 GMT-0500,116.604,116.852,116.487,116.740,46485.7998
13.05.2003 20:00:00.000 GMT-0500,116.785,116.858,116.511,116.715,47602.5
14.05.2003 00:00:00.000 GMT-0500,116.685,116.738,116.503,116.552,47010
14.05.2003 04:00:00.000 GMT-0500,116.554,116.825,116.491,116.744,47967.6992
14.05.2003 08:00:00.000 GMT-0500,116.766,116.800,116.068,116.182,165202.3994
14.05.2003 12:00:00.000 GMT-0500,116.135,116.226,115.592,116.210,208583.2012
14.05.2003 16:00:00.000 GMT-0500,116.193,116.343,116.128,116.228,47867.9004
14.05.2003 20:00:00.000 GMT-0500,116.224,116.427,116.131,116.191,47622.7998
15.05.2003 00:00:00.000 GMT-0500,116.187,116.317,115.744,115.882,46695.7998
15.05.2003 04:00:00.000 GMT-0500,115.886,115.934,115.292,115.617,47419.7002
15.05.2003 08:00:00.000 GMT-0500,115.652,116.171,115.611,115.899,171127.30670000002
15.05.2003 12:00:00.000 GMT-0500,115.927,116.565,115.783,116.565,204445.6972
15.05.2003 16:00:00.000 GMT-0500,116.588,116.616,116.399,116.510,48343
15.05.2003 20:00:00.000 GMT-0500,116.519,116.532,116.186,116.239,46300.4004
16.05.2003 00:00:00.000 GMT-0500,116.257,116.474,116.204,116.323,46723.0996
16.05.2003 04:00:00.000 GMT-0500,116.343,116.494,116.010,116.010,49630.8994
16.05.2003 08:00:00.000 GMT-0500,116.055,116.190,115.849,115.986,167623.3027
16.05.2003 12:00:00.000 GMT-0500,115.970,116.202,115.788,115.948,201801.5
16.05.2003 16:00:00.000 GMT-0500,115.948,115.948,115.948,115.948,0
16.05.2003 20:00:00.000 GMT-0500,115.948,115.948,115.948,115.948,0
17.05.2003 00:00:00.000 GMT-0500,115.948,115.948,115.948,115.948,0
17.05.2003 04:00:00.000 GMT-0500,115.948,115.948,115.948,115.948,0
17.05.2003 08:00:00.000 GMT-0500,115.948,115.948,115.948,115.948,0
17.05.2003 12:00:00.000 GMT-0500,115.948,115.948,115.948,115.948,0
